window,n,started_before,ended_differently,ended_after,mean,median,stdDev,var,minimum,maximum
0.0,4318.0,1400.0,6380.0,8035.0,168.47269941083835,141.575562,123.59891703344746,15276.69229184103,15.672119,1453.616594
1.0,6894.0,2825.0,4669.0,7888.0,166.3146386605744,121.254618,146.61020725012617,21494.552869924944,17.239502,1505.709285
2.0,8439.0,4710.0,6248.0,5809.0,234.84367246877594,200.351244,160.58809609782577,25788.536608324528,16.53131,1050.836071
3.0,3916.0,1008.0,4966.0,5050.0,414.06948538891726,393.7911665,227.88231667595548,51930.35025360045,14.172521,1687.752476
4.0,4914.0,3918.0,7511.0,10206.0,132.26672918152218,102.3452485,144.282441320642,20817.422873444502,16.881916,1091.773791
5.0,2669.0,1036.0,20919.0,25436.0,239.25884835369052,199.72027,184.71270873516875,34118.78476828329,16.74881,1559.102652
6.0,3632.0,746.0,7410.0,5691.0,166.41617563050661,136.0750415,154.08086684297774,23740.91352708344,16.234141,1286.291207
7.0,1262.0,8363.0,16092.0,26394.0,167.8713691354992,124.8369415,179.26278187135136,32135.144964255695,18.375501,1125.88476
8.0,2277.0,9911.0,8408.0,6182.0,227.45020692885376,135.885545,210.467084389293,44296.39361132979,17.030472,1370.556768
9.0,3666.0,421.0,5741.0,7540.0,222.99323159138027,229.6323625,154.86286079916425,23982.505654901328,16.131777,1669.142552
10.0,3188.0,3206.0,25730.0,32490.0,333.50729288989965,231.08779950000002,247.3617872972285,61187.853814879316,15.550056,1169.177971
11.0,2765.0,3084.0,17716.0,17808.0,194.68237045099457,146.033076,209.55263737914183,43912.30783255411,16.555887,1761.951984
12.0,2128.0,1267.0,12044.0,10561.0,374.9423550460526,190.41562,376.68736623471176,141893.3718808439,16.681705,1777.478046
13.0,2340.0,3119.0,13304.0,13538.0,317.1338381504273,267.9036115,213.1239693702313,45421.82632012329,15.563264,1520.424195
14.0,3025.0,361.0,7122.0,5743.0,196.58975583768597,175.413547,117.2892772481683,13756.77455739769,16.541497,997.591572
15.0,1658.0,7859.0,11248.0,12924.0,296.8936073015682,260.5514065,242.45195455132907,58782.95026575973,17.420186,1233.929116
16.0,9354.0,5902.0,22422.0,27564.0,443.8554067225786,657.282292,294.9032461642486,86967.92459821141,17.336328,1280.762382
17.0,5321.0,6475.0,19960.0,29892.0,539.9348755493329,425.309295,331.21318878377076,109702.17642431377,16.494557,1590.502901
18.0,2495.0,10197.0,28104.0,25458.0,536.7330723931864,348.871204,417.4218685690542,174241.01635968074,17.406426,1598.456878
19.0,5698.0,3479.0,14807.0,17330.0,416.25867583678485,438.6367965,262.74539298443426,69035.1415345448,17.452511,1439.735616
20.0,7257.0,4677.0,6113.0,7487.0,359.13402168885216,276.574061,244.87499700672643,59963.76415904427,18.570635,1006.120719
21.0,7347.0,2785.0,17375.0,16441.0,229.72611062923642,233.78521,112.09372897043713,12565.004074497816,16.591737,1429.961936
22.0,4486.0,1449.0,11727.0,13204.0,224.17109631654037,172.22804,179.67821418546743,32284.260652878707,17.47072,950.359041
23.0,2307.0,4601.0,4299.0,5787.0,223.42642985782405,179.365336,189.59452249141498,35946.08295874766,17.321996,1560.797241
24.0,4519.0,3913.0,31236.0,27422.0,306.5065203998672,209.723314,295.4986937768056,87319.47802379834,17.403189,1421.630966
